Date,Region,Product,Category,Campaign,Marketing_Channel,Quarter,Spend,Impressions,Clicks,Conversions,Conversion Rate,Revenue,CTR,CPC,ROI
9/22/2024,North,Laptop Stand,Electronics,Social Media Boost Campaign,Search Engine,Q1,980,40000,2000,100,5%,15000,0.05,0.49,14.31
9/29/2024,South,Resistance Bands,Health & Fitness,Loyalty Program Campaign,Email,Q1,2100,70000,3500,175,5%,26250,0.05,0.6,11.5
10/6/2024,South,Yoga Mat,Health & Fitness,Loyalty Program Campaign,Search Engine,Q1,3400,110000,4400,220,5%,33000,0.04,0.77,8.71
10/13/2024,West,Yoga Mat,Health & Fitness,Social Media Boost Campaign,Social Media,Q1,2950,88000,3520,176,5%,26400,0.04,0.84,7.95
10/20/2024,North,Fitness Tracker,Electronics,Retargeting Campaign,Direct Mail,Q1,5000,55000,1650,82,5%,20500,0.03,3.03,3.1
10/27/2024,South,Sneakers,Fashion,Summer Sale Campaign,Email,Q1,1750,60000,3000,150,5%,22500,0.05,0.58,11.86
11/3/2024,West,Sneakers,Fashion,Seasonal Discount Campaign,Search Engine,Q1,2300,80000,3200,160,5%,24000,0.04,0.72,9.43
11/10/2024,South,Gaming Mouse,Electronics,Social Media Boost Campaign,Social Media,Q2,3900,105000,4200,210,5%,31500,0.04,0.93,7.08
11/17/2024,South,Fitness Tracker,Electronics,Social Media Boost Campaign,Direct Mail,Q2,4500,50000,1500,75,5%,18750,0.03,3,3.17
4/16/2023,West,Sports Jacket,Fashion,Social Media Boost Campaign,Email,Q2,2200,72000,3600,180,5%,27000,0.05,0.61,11.27
4/23/2023,South,Hoodie,Fashion,Seasonal Discount Campaign,Social Media,Q2,3100,92000,3680,184,5%,27600,0.04,0.84,7.9
4/30/2023,South,Laptop Stand,Electronics,Summer Sale Campaign,Search Engine,Q2,2700,90000,3600,180,5%,27000,0.04,0.75,9
5/7/2023,South,Gaming Mouse,Electronics,Summer Sale Campaign,Email,Q2,1850,65000,3250,162,5%,24375,0.05,0.57,12.18
5/14/2023,South,Fitness Tracker,Electronics,New Product Launch,Direct Mail,Q2,6000,62000,1860,93,5%,23250,0.03,3.23,2.88
5/21/2023,West,Bluetooth Speaker,Electronics,Retargeting Campaign,Search Engine,Q2,2100,75000,3000,150,5%,22500,0.04,0.7,9.71
5/28/2023,South,Resistance Bands,Health & Fitness,New Product Launch,Social Media,Q2,3300,98000,3920,196,5%,29400,0.04,0.84,7.91
6/4/2023,West,Yoga Mat,Health & Fitness,Retargeting Campaign,Email,Q2,1400,55000,2750,138,5%,20625,0.05,0.51,13.73
6/11/2023,North,Laptop Stand,Electronics,Summer Sale Campaign,Direct Mail,Q2,4800,52000,1560,78,5%,19500,0.03,3.08,3.06
6/18/2023,South,Casual T-Shirt,Fashion,Summer Sale Campaign,Email,Q2,1950,68000,3400,170,5%,25500,0.05,0.57,12.08
6/25/2023,South,Sports Jacket,Fashion,New Product Launch,Search Engine,Q2,3550,115000,4600,230,5%,34500,0.04,0.77,8.72
7/2/2023,South,Power Bank,Electronics,Summer Sale Campaign,Social Media,Q3,2900,87000,3480,174,5%,26100,0.04,0.83,8
7/9/2023,West,Yoga Pants,Fashion,Flash Sale Campaign,Direct Mail,Q3,5200,54000,1620,81,5%,20250,0.03,3.21,2.89
7/16/2023,South,Gym Gloves,Health & Fitness,New Product Launch,Email,Q3,2300,74000,3700,185,5%,27750,0.05,0.62,11.07
7/23/2023,South,Sneakers,Fashion,New Product Launch,Search Engine,Q3,2600,85000,3400,170,5%,25500,0.04,0.76,8.81
7/30/2023,South,Resistance Bands,Health & Fitness,New Product Launch,Email,Q3,1600,62000,3100,155,5%,23250,0.05,0.52,13.53
8/6/2023,North,Yoga Mat,Health & Fitness,Summer Sale Campaign,Social Media,Q3,3700,102000,4080,204,5%,30600,0.04,0.91,7.27
8/13/2023,South,Smart Watch,Electronics,Summer Sale Campaign,Direct Mail,Q3,5600,58000,1740,87,5%,21750,0.03,3.22,2.88
8/20/2023,South,Wireless Earbuds,Electronics,New Product Launch,Search Engine,Q3,3200,100000,4000,200,5%,30000,0.04,0.8,8.38
8/27/2023,North,Wireless Earbuds,Electronics,Retargeting Campaign,Social Media,Q3,2800,84000,3360,168,5%,25200,0.04,0.83,8
9/3/2023,South,Yoga Pants,Fashion,Summer Sale Campaign,Email,Q3,1900,67000,3350,168,5%,25125,0.05,0.57,12.22
9/10/2023,North,Smart Watch,Electronics,Retargeting Campaign,Direct Mail,Q3,4900,53000,1590,80,5%,19875,0.03,3.08,3.06
9/17/2023,North,Yoga Mat,Health & Fitness,Social Media Boost Campaign,Email,Q3,2450,76000,3800,190,5%,28500,0.05,0.64,10.63
9/24/2023,South,Running Shoes,Fashion,Retargeting Campaign,Search Engine,Q3,2150,78000,3120,156,5%,23400,0.04,0.69,9.88
10/1/2023,West,Laptop Stand,Electronics,New Product Launch,Social Media,Q4,3500,100000,4000,200,5%,30000,0.04,0.88,7.57
10/8/2023,South,Sports Jacket,Fashion,Retargeting Campaign,Direct Mail,Q4,5300,56000,1680,84,5%,21000,0.03,3.15,2.96
10/15/2023,North,Power Bank,Electronics,Flash Sale Campaign,Email,Q4,2050,69000,3450,172,5%,25875,0.05,0.59,11.62
10/22/2023,South,Yoga Pants,Fashion,Summer Sale Campaign,Search Engine,Q4,2900,93000,3720,186,5%,27900,0.04,0.78,8.62
10/29/2023,West,Hoodie,Fashion,Brand Awareness Campaign,Email,Q4,1700,64000,3200,160,5%,24000,0.05,0.53,13.12
11/5/2023,East,Yoga Mat,Health & Fitness,New Product Launch,Social Media,Q4,3800,104000,4160,208,5%,31200,0.04,0.91,7.21
11/12/2023,East,Mechanical Keyboard,Electronics,Summer Sale Campaign,Direct Mail,Q4,5700,59000,1770,88,5%,22125,0.03,3.22,2.88
11/19/2023,East,Power Bank,Electronics,Search Engine Ads Campaign,Search Engine,Q4,2400,82000,3280,164,5%,24600,0.04,0.73,9.25
11/26/2023,East,Resistance Bands,Health & Fitness,Retargeting Campaign,Social Media,Q4,3100,94000,3760,188,5%,28200,0.04,0.82,8.1
12/3/2023,West,Multivitamins,Health & Fitness,Summer Sale Campaign,Email,Q4,2250,73000,3650,182,5%,27375,0.05,0.62,11.17
12/10/2023,West,Sports Jacket,Fashion,Summer Sale Campaign,Direct Mail,Q4,5500,57000,1710,86,5%,21375,0.03,3.22,2.89
12/17/2023,East,Resistance Bands,Health & Fitness,Summer Sale Campaign,Email,Q4,1350,58000,2900,145,5%,21750,0.05,0.47,15.11
12/24/2023,North,Resistance Bands,Health & Fitness,Retargeting Campaign,Search Engine,Q4,2700,88000,3520,176,5%,26400,0.04,0.77,8.78
12/31/2023,East,Sports Jacket,Fashion,New Product Launch,Direct Mail,Q4,5900,61000,1830,92,5%,22875,0.03,3.22,2.88
8/18/2024,South,Protein Powder,Health & Fitness,Search Engine Ads Campaign,Social Media,Q1,3000,90000,3600,180,5%,27000,0.04,0.83,8
8/25/2024,East,Power Bank,Electronics,Seasonal Discount Campaign,Email,Q1,1450,60000,3000,150,5%,22500,0.05,0.48,14.52
9/1/2024,West,Gaming Mouse,Electronics,Flash Sale Campaign,Search Engine,Q1,3400,115000,4600,230,5%,34500,0.04,0.74,9.15
9/8/2024,North,Smart Watch,Electronics,Summer Sale Campaign,Social Media,Q1,2900,96000,3840,192,5%,28800,0.04,0.76,8.93
9/15/2024,West,Fitness Tracker,Electronics,Influencer Marketing Campaign,Direct Mail,Q1,4300,62000,1860,93,5%,23250,0.03,2.31,4.41
9/22/2024,South,Fitness Tracker,Electronics,Summer Sale Campaign,Search Engine,Q1,1050,42000,2100,105,5%,15750,0.05,0.5,14
9/29/2024,South,Wireless Earbuds,Electronics,Retargeting Campaign,Email,Q1,2200,72000,3600,180,5%,27000,0.05,0.61,11.27
10/6/2024,North,Power Bank,Electronics,Retargeting Campaign,Search Engine,Q1,3600,112000,4480,224,5%,33600,0.04,0.8,8.33
10/13/2024,South,Hoodie,Fashion,New Product Launch,Social Media,Q1,3100,89000,3560,178,5%,26700,0.04,0.87,7.61
10/20/2024,North,Multivitamins,Health & Fitness,Flash Sale Campaign,Direct Mail,Q1,5200,56000,1680,84,5%,21000,0.03,3.1,3.04
10/27/2024,South,Smart Watch,Electronics,Social Media Boost Campaign,Email,Q1,1850,62000,3100,155,5%,23250,0.05,0.6,11.57
11/3/2024,West,Multivitamins,Health & Fitness,Retargeting Campaign,Search Engine,Q1,2450,82000,3280,164,5%,24600,0.04,0.75,9.04
11/10/2024,South,Hoodie,Fashion,Social Media Boost Campaign,Social Media,Q1,4100,108000,4320,216,5%,32400,0.04,0.95,6.9
11/17/2024,North,Yoga Mat,Health & Fitness,Retargeting Campaign,Direct Mail,Q2,4700,52000,1560,78,5%,19500,0.03,3.01,3.15
4/14/2024,West,Wireless Earbuds,Electronics,New Product Launch,Email,Q2,2300,74000,3700,185,5%,27750,0.05,0.62,11.07
4/21/2024,South,Yoga Pants,Fashion,New Product Launch,Social Media,Q2,3200,94000,3760,188,5%,28200,0.04,0.85,7.81
4/28/2024,West,Sneakers,Fashion,Search Engine Ads Campaign,Search Engine,Q2,2800,92000,3680,184,5%,27600,0.04,0.76,8.86
5/5/2024,North,Gym Gloves,Health & Fitness,Summer Sale Campaign,Email,Q2,1950,68000,3400,170,5%,25500,0.05,0.57,12.08
5/12/2024,West,Gaming Mouse,Electronics,Retargeting Campaign,Direct Mail,Q2,6200,64000,1920,96,5%,24000,0.03,3.23,2.87
5/19/2024,East,Laptop Stand,Electronics,Seasonal Discount Campaign,Search Engine,Q2,2200,77000,3080,154,5%,23100,0.04,0.71,9.5
5/26/2024,South,Smart Watch,Electronics,Retargeting Campaign,Social Media,Q2,3400,100000,4000,200,5%,30000,0.04,0.85,7.82
6/2/2024,South,Hoodie,Fashion,New Product Launch,Email,Q2,1500,57000,2850,142,5%,21375,0.05,0.53,13.25
6/9/2024,South,Bluetooth Speaker,Electronics,Retargeting Campaign,Direct Mail,Q2,5000,54000,1620,81,5%,20250,0.03,3.09,3.05
6/16/2024,South,Mechanical Keyboard,Electronics,Loyalty Program Campaign,Email,Q2,2050,70000,3500,175,5%,26250,0.05,0.59,11.8
6/23/2024,North,Mechanical Keyboard,Electronics,Social Media Boost Campaign,Search Engine,Q2,3700,118000,4720,236,5%,35400,0.04,0.78,8.57
6/30/2024,South,Resistance Bands,Health & Fitness,Search Engine Ads Campaign,Social Media,Q2,3050,89000,3560,178,5%,26700,0.04,0.86,7.75
7/7/2024,North,Hoodie,Fashion,Loyalty Program Campaign,Direct Mail,Q3,5400,56000,1680,84,5%,21000,0.03,3.21,2.89
7/14/2024,North,Sports Jacket,Fashion,Retargeting Campaign,Email,Q3,2400,76000,3800,190,5%,28500,0.05,0.63,10.88
7/21/2024,South,Yoga Mat,Health & Fitness,Social Media Boost Campaign,Search Engine,Q3,2700,87000,3480,174,5%,26100,0.04,0.78,8.67
7/28/2024,North,Gaming Mouse,Electronics,Search Engine Ads Campaign,Email,Q3,1700,64000,3200,160,5%,24000,0.05,0.53,13.12
8/4/2024,South,Casual T-Shirt,Fashion,Summer Sale Campaign,Social Media,Q3,3900,106000,4240,212,5%,31800,0.04,0.92,7.15
8/11/2024,South,Gym Gloves,Health & Fitness,Loyalty Program Campaign,Direct Mail,Q3,5800,60000,1800,90,5%,22500,0.03,3.22,2.88
8/18/2024,North,Fitness Tracker,Electronics,Summer Sale Campaign,Search Engine,Q3,3300,102000,4080,204,5%,30600,0.04,0.81,8.27
8/25/2024,South,Sports Jacket,Fashion,Retargeting Campaign,Social Media,Q3,2900,86000,3440,172,5%,25800,0.04,0.84,7.9
9/1/2024,South,Hoodie,Fashion,Retargeting Campaign,Email,Q3,2000,69000,3450,172,5%,25875,0.05,0.58,11.94
9/8/2024,West,Denim Jeans,Fashion,New Product Launch,Direct Mail,Q3,5100,55000,1650,82,5%,20625,0.03,3.09,3.04
9/15/2024,West,Yoga Mat,Health & Fitness,Retargeting Campaign,Email,Q3,2550,78000,3900,195,5%,29250,0.05,0.65,10.47
9/22/2024,South,Sports Jacket,Fashion,New Product Launch,Search Engine,Q3,2250,80000,3200,160,5%,24000,0.04,0.7,9.67
9/29/2024,South,Wireless Earbuds,Electronics,Search Engine Ads Campaign,Social Media,Q4,3600,102000,4080,204,5%,30600,0.04,0.88,7.5
10/6/2024,South,Casual T-Shirt,Fashion,Search Engine Ads Campaign,Direct Mail,Q4,5500,58000,1740,87,5%,21750,0.03,3.16,2.95
10/13/2024,East,Sports Jacket,Fashion,Seasonal Discount Campaign,Email,Q4,2150,71000,3550,178,5%,26625,0.05,0.61,11.38
10/20/2024,West,Casual T-Shirt,Fashion,Summer Sale Campaign,Search Engine,Q4,3000,95000,3800,190,5%,28500,0.04,0.79,8.5
10/27/2024,South,Sneakers,Fashion,Summer Sale Campaign,Email,Q4,1800,66000,3300,165,5%,24750,0.05,0.55,12.75
11/3/2024,North,Wireless Earbuds,Electronics,Summer Sale Campaign,Social Media,Q4,4000,108000,4320,216,5%,32400,0.04,0.93,7.1
11/10/2024,West,Sports Jacket,Fashion,Summer Sale Campaign,Direct Mail,Q4,5900,61000,1830,92,5%,22875,0.03,3.22,2.88
11/17/2024,South,Gaming Mouse,Electronics,Retargeting Campaign,Search Engine,Q4,2500,84000,3360,168,5%,25200,0.04,0.74,9.08
11/24/2024,West,Mechanical Keyboard,Electronics,Search Engine Ads Campaign,Social Media,Q4,3300,97000,3880,194,5%,29100,0.04,0.85,7.82
12/1/2024,North,Denim Jeans,Fashion,Summer Sale Campaign,Email,Q4,2350,75000,3750,188,5%,28125,0.05,0.63,10.97
12/8/2024,South,Bluetooth Speaker,Electronics,Email Promotion,Direct Mail,Q4,5700,59000,1770,88,5%,22125,0.03,3.22,2.88
12/15/2024,North,Wireless Earbuds,Electronics,Retargeting Campaign,Email,Q4,1450,60000,3000,150,5%,22500,0.05,0.48,14.52
12/22/2024,South,Casual T-Shirt,Fashion,Cart Abandonment Campaign,Search Engine,Q4,2800,90000,3600,180,5%,27000,0.04,0.78,8.64
12/29/2024,North,Gaming Mouse,Electronics,Seasonal Discount Campaign,Direct Mail,Q4,6100,63000,1890,94,5%,23625,0.03,3.23,2.87
1/2/2023,South,Power Bank,Electronics,Email Promotion,Social Media,Q1,1850,62000,3100,155,5%,23250,0.05,0.6,11.57
1/9/2023,North,Running Shoes,Fashion,Email Promotion,Email,Q1,2100,70000,3500,175,5%,26250,0.05,0.6,11.5
1/16/2023,North,Mechanical Keyboard,Electronics,Retargeting Campaign,Search Engine,Q1,3900,120000,4800,240,5%,36000,0.04,0.81,8.23
1/23/2023,West,Smart Watch,Electronics,Search Engine Ads Campaign,Direct Mail,Q1,4800,50000,1500,75,5%,18750,0.03,3.2,2.91
1/30/2023,North,Yoga Pants,Fashion,Retargeting Campaign,Email,Q1,1550,58000,2900,145,5%,21750,0.05,0.53,13.03
2/6/2023,North,Power Bank,Electronics,Retargeting Campaign,Search Engine,Q1,3300,110000,4400,220,5%,33000,0.04,0.75,9
2/13/2023,North,Yoga Pants,Fashion,Summer Sale Campaign,Social Media,Q1,2750,85000,3400,170,5%,25500,0.04,0.81,8.27
2/20/2023,South,Gaming Mouse,Electronics,Summer Sale Campaign,Email,Q1,2350,75000,3750,188,5%,28125,0.05,0.63,10.97
2/27/2023,North,Bluetooth Speaker,Electronics,Email Promotion,Direct Mail,Q1,5400,58000,1740,87,5%,21750,0.03,3.1,3.03
3/6/2023,South,Yoga Mat,Health & Fitness,Summer Sale Campaign,Social Media,Q1,3050,92000,3680,184,5%,27600,0.04,0.83,8.05
7/3/2023,South,Casual T-Shirt,Fashion,Loyalty Program Campaign,Email,Q3,2400,76000,3800,190,5%,28500,0.05,0.63,10.88
7/10/2023,North,Smart Watch,Electronics,Summer Sale Campaign,Social Media,Q3,2950,89000,3560,178,5%,26700,0.04,0.83,8.05
7/17/2023,West,Hoodie,Fashion,Retargeting Campaign,Email,Q3,1850,66000,3300,165,5%,24750,0.05,0.56,12.38
7/24/2023,South,Wireless Earbuds,Electronics,Summer Sale Campaign,Search Engine,Q3,3500,112000,4480,224,5%,33600,0.04,0.78,8.6
7/31/2023,South,Denim Jeans,Fashion,Social Media Boost Campaign,Direct Mail,Q3,5700,59000,1770,88,5%,22125,0.03,3.22,2.88
8/7/2023,West,Yoga Pants,Fashion,Social Media Boost Campaign,Email,Q3,2550,78000,3900,195,5%,29250,0.05,0.65,10.47
11/6/2023,North,Smart Watch,Electronics,Summer Sale Campaign,Social Media,Q4,3500,105000,4200,210,5%,31500,0.04,0.83,8
11/13/2023,South,Bluetooth Speaker,Electronics,Retargeting Campaign,Direct Mail,Q4,5500,58000,1740,87,5%,21750,0.03,3.16,2.95
11/20/2023,North,Protein Powder,Health & Fitness,Seasonal Discount Campaign,Email,Q4,2350,75000,3750,188,5%,28125,0.05,0.63,10.97
11/27/2023,South,Power Bank,Electronics,New Product Launch,Search Engine,Q4,3850,119000,4760,238,5%,35700,0.04,0.81,8.27
12/4/2023,South,Sneakers,Fashion,Search Engine Ads Campaign,Email,Q4,1950,68000,3400,170,5%,25500,0.05,0.57,12.08
12/11/2023,North,Laptop Stand,Electronics,New Product Launch,Direct Mail,Q4,5000,54000,1620,81,5%,20250,0.03,3.09,3.05
12/18/2023,West,Yoga Mat,Health & Fitness,Summer Sale Campaign,Social Media,Q4,3200,97000,3880,194,5%,29100,0.04,0.83,8.09
12/25/2023,West,Gaming Mouse,Electronics,Influencer Marketing Campaign,Search Engine,Q4,2800,91000,3640,182,5%,27300,0.04,0.77,8.75
8/18/2024,North,Yoga Pants,Fashion,New Product Launch,Email,Q1,1600,60000,3000,150,5%,22500,0.05,0.53,13.06
8/25/2024,South,Hoodie,Fashion,Email Promotion,Social Media,Q1,2950,89000,3560,178,5%,26700,0.04,0.83,8.05
9/1/2024,South,Smart Watch,Electronics,Summer Sale Campaign,Direct Mail,Q1,4600,52000,1560,78,5%,19500,0.03,2.95,3.24
9/8/2024,South,Wireless Earbuds,Electronics,Brand Awareness Campaign,Email,Q1,2000,68000,3400,170,5%,25500,0.05,0.59,11.75
9/15/2024,South,Laptop Stand,Electronics,Retargeting Campaign,Search Engine,Q1,3100,98000,3920,196,5%,29400,0.04,0.79,8.48
9/22/2024,West,Yoga Pants,Fashion,Retargeting Campaign,Email,Q1,1850,65000,3250,162,5%,24375,0.05,0.57,12.18
9/29/2024,North,Bluetooth Speaker,Electronics,Retargeting Campaign,Social Media,Q1,2850,88000,3520,176,5%,26400,0.04,0.81,8.26
10/6/2024,North,Hoodie,Fashion,Summer Sale Campaign,Search Engine,Q1,3600,114000,4560,228,5%,34200,0.04,0.79,8.5
10/13/2024,West,Yoga Mat,Health & Fitness,Retargeting Campaign,Direct Mail,Q1,5500,59000,1770,88,5%,22125,0.03,3.11,3.02
10/20/2024,East,Laptop Stand,Electronics,Flash Sale Campaign,Email,Q1,2250,74000,3700,185,5%,27750,0.05,0.61,11.33
10/27/2024,South,Protein Powder,Health & Fitness,Brand Awareness Campaign,Social Media,Q1,3300,100000,4000,200,5%,30000,0.04,0.82,8.09
